character,direction,line
Narrator,*dreamily*,"Begin Act I. We see an island. It is Peoria Island. Home to a young boy named Pupa and his friend Broccolo Bernardi. On any given day you can find them playing together on the beach, but today Pupa finds himself floating high above the island. He spots Broccolo Bernardi waving to him on the beach. Pupa wants to go to him. He leans forward, moving slowly at first but then accelerating further down … down. Like a comet now he plunges from the sky. Broccolo is shouting. Pupa crashes into the water, a good ways off from the beach. He sinks deeper and deeper into an abyss. He realizes he can breathe. He soon comes to rest on a pedestal. He is far from Peoria Island but still feels at home, almost like he is within himself, way deep down in his soul. He sees a cloaked man across from him on the pedestal. The man extends his arm and Pupa sees a green hand jutting from the sleeve. Is he beckoning Pupa to leave his island behind?"
Broccolo Bernardi,N/A,Pupa! Wake up! You were sleeping and it sounded like you were having a dream. Is everything ok?
Pupa,N/A,"Huh? What? Oh! I’m awake! … No, I’m all right now … I just keep having these weird dreams … Anyway, what are we doing today?"
Broccolo Bernardi,N/A,"We were just on our way to the public address from the mayor of Peoria Island, Jim Ardis!"
Pupa,N/A,"Ah, right. Well, let’s get a move on."
Narrator,N/A,Pupa and Broccolo Bernardi run down the road hand in hand toward a crowd of locals waiting for the mayor to begin his public address. They assimilate into the crowd just as the mayor begins speaking.
Jim Ardis,*as a pronouncement*,Our island must remain free of Cringe! Cringe has completely overtaken the neighboring islands!
Pupa,*to Broccolo at his side*,"Broccolo, do you ever feel like you can feel the cringe that exists way deep down in your soul, no matter how repressed it is?"
Broccolo Bernardi,N/A,"Yes, Pupa. I think we all do have a small bit of cringe way deep down in each of our souls."
Pupa,N/A,I would never embrace my own cringe way deep down in my soul. It’s taken over the neighboring islands! What do you think it would do to someone who completely relinquishes to the cringe?
Jim Ardis,N/A,"Stop talking during my public address! … In order to combat the encroaching cringe menace, I have worked with our scientific specialists to develop a weapon. Behold, the cop bomb!"
Narrator,N/A,"Mayor Jim Ardis steps to the side, revealing a bomb behind him. The bomb is about the size of a small manatee."
Pupa,*Surprised*,"A bomb!? But Broccolo, won’t that kill us too even if we aren’t cringe?"
Broccolo Bernardi,*Off-handedly*,"Shut up, Pupa! I’m trying to listen to the rest of the public address."
Shrek,"*In disguise, blending in with the crowd*","Hey, you, kid! We gotta get out of here, that thing’s about to go off!"
Pupa,Surprised,What? Hey! You’re that guy from my dream!
Shrek,Hurriedly,"No time to catch up, you need to hop in my mouth, quick!"
Narrator,N/A,"The strange man from the crowd pulls back his hood to reveal he is none other than Shrek, his mouth agape, ready and waiting for Pupa to take the plunge. Pupa is reticent to obey, but soon has no choice as Jim Ardis pulls the pin on the cop bomb leading to a violent cringe-searing explosion. Pupa is knocked unconscious by the blast, which hurtles him into Shrek’s mouth…"
Narrator,N/A,Thus begins Act II
Shrek,N/A,"Hey, wake up little guy!"
Pupa,N/A,Huh? What? Where are we? Did you eat me?
Shrek,laughingly,"Ha, no! You jumped into a portal to this world, your home world was destroyed by that bomb."
Pupa,N/A,So you don’t know where we are?
Shrek,N/A,"I didn’t have a chance to focus where we were going, I just knew we had to get out of there. I had to save you because you are the chosen hero who must embrace the cringe way deep down in your soul."
Pupa,N/A,As if! I will never embrace my own cringe way deep down in my soul.
Shrek,N/A,"You may think so, but the cringe works in mysterious ways. Hey, there’s someone we could ask them where we are!"
Narrator,N/A,Shrek and Pupa jog over to the man they spotted. He is accompanied by a kid and is holding a long box.
Shrek,N/A,"Excuse me, sir, can you tell us where we are?"
That Sodding Gamer,*Holding katana in a box*,This is the Hanwei Forge Elite Katana this is the unveiling I am opening it
Pupa,N/A,"Wow, these guys are cringe royale, but okay I guess…"
That Sodding Gamer,"*to everyone, while miming unboxing the katana*","See, another smaller box within the larger box. This katana was 209 dollars US and about 135 Canadian after conversion at the time. I had to pay about 124 dollars for customs fees. It’s supposed to be very sharp"
Tyler,*whistling loudly*,*whistles loudly*
That Sodding Gamer,*Sternly*,Shh! Tyler! It will sound really weird on the video
Narrator,*to That Sodding Gamer*,You have to cut the plastic a little bit. It’s got a bit of plastic it’s got it all over -
Tyler,*to the Narrator*,It’s Tape – IT’S TAPE
That Sodding Gamer,*to Tyler*,"Yeah there’s tape on it, I try to be a bit careful don’t want it to -"
Narrator,*to That Sodding Gamer*,"Yes, because you never have to know if you need to send it back"
That Sodding Gamer,*to the Narrator*,It has more to do with the fact that I don’t want to damage anything.
That Sodding Gamer,*taking katana out of box*,"Ah, as you can see, the katana itself is wrapped."
Tyler,*Excitedly*,"Wow, it looks like an ambrella now."
That Sodding Gamer,*to Shrek and Pupa*,This is actually my first katana
Tyler,N/A,Watch it! Whoaa oh my gosh that’s shiny!
That Sodding Gamer,N/A,"That’s just the sheath, you can see that there’s a taeg on it in various languages. I’ll be taking that off."
Tyler,N/A,Wow woah okay
Narrator,N/A,"Very nice, eh"
That Sodding Gamer,*pulling sword out of sheath*,Well it certainly does look very sharp doesn’t it
Narrator,N/A,The Hanwei Forge Elite Katana suddenly glows and shines a beam of light directly at Pupa.
Shrek,N/A,"Pupa! That sword is reacting to the cringe way deep down in your soul! See, you are the chosen hero!"
Pupa,N/A,No! I refuse to accept the cringe and bear the sword!
Shrek,N/A,You must! It is your destiny!
Narrator,N/A,"As Shrek and Pupa continue their arguing, the Hanwei Forge Elite Katana suddenly flies from the hands of That Sodding Gamer, over Tyler’s head, and into Pupa’s hands. Pupa can feel that the sword will not accept any other master."
Pupa,N/A,Crap! Guess I’m stuck with bearing this sword… but I will still not accept the cringe.
That Sodding Gamer,N/A,"Hey, you! Boy! You have stolen my Hanwei Forge Elite Katana and I will have you tried before the highest court in this land. To the King!"
Narrator,N/A,Tyler and That Sodding Gamer have captured Shrek and Pupa for the alleged crime of theft. They have been brought to the highest court in the land before the King.
King Curtis,*regally*,You stand before King Curtis! What crime has been committed?
Tyler,*as an interjection*,It’s TAPE!
That Sodding Gamer,N/A,"Shh, Tyler! My liege, this boy has stolen a brand new Hanwei Forge Elite Katana right after I unboxed it"
Shrek,N/A,"Your Highness, it was out of Pupa’s control! He is the chosen one meant to wield this cringe-blade, it will serve no other master."
King Curtis,N/A,"I see. Well, let’s hear from the boy himself. What do you have to say for yourself?"
Pupa,N/A,"Well, you see, your majesty, it is just as Shrek has described. I can feel this cringe-blade bonded to the cringe way deep down in my soul. I don’t have anything else in the world, I just escaped the destruction of my home and I do not know the fate of my family. I guess cringe is the only thing I have left…"
King Curtis,N/A,"I take pity on you boy, I also have little family. In fact, all I have is chicken nuggets. Chicken nuggets is just like my family."
Pupa,*dejectedly*,"Huh? I hadn’t thought of it like that. I guess, for me … Cringe is just like my family."
Narrator,N/A,The cringe-blade glows as it did when it chose Pupa as its master.
Shrek,*Commending Pupa*,Pupa! You did it! You have truly bonded to the cringe-blade and can wield it as its master! … I sense our work is done here. We must be moving to another world.
Pupa,*Hopeful*,"Huh, “Cringe is just like my family.” It’s true! Shrek, you’ve helped me escape my sure destruction by the hands of Jim Ardis, and you’ve been right about everything so far. So, I guess it’s best if I continue to follow you."
Shrek,*opening mouth*,"Okay, well, hop in then, we must be off!"
Narrator,N/A,Thus begins Act III
Pupa,*coming to after teleporting*,Whuh … where are we?
Shrek,N/A,No clue little guy
Broccolo Bernardi,N/A,"Hey, Pupa! You’re alive!"
